ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1626	"ENSG00000159337"	"ENSG00000159337"	chr15	-	42069908	42070883	42069908	42070095	42070716	42070883	1626	149,117,166	12,23,30	18,28,41	0,18,0	671	50	0.0898934812379	0.24751848269257803	0.481,0.275,0.292	1.0,0.104,1.0	-0.352
1627	"ENSG00000169764"	"ENSG00000169764"	chr2	+	63887401	63890185	63887401	63887644	63890080	63890185	1627	2088,517,462	400,152,219	2546,940,1107	398,195,184	2486	50	8.41462973966e-07	2.9725458687732254e-05	0.095,0.064,0.041	0.114,0.088,0.108	-0.037
1628	"ENSG00000165644"	"ENSG00000165644"	chr10	-	75234937	75235178	75234937	75234992	75235059	75235178	1628	14,20,8	19,45,49	2,10,2	11,21,15	117	50	0.287174096955	0.5585814314365785	0.239,0.16,0.065	0.072,0.169,0.054	0.056
1629	"ENSG00000156650"	"ENSG00000156650"	chr10	+	74981786	74985241	74981786	74981928	74985079	74985241	1629	14,14,1	44,23,24	42,9,7	68,22,31	3201	50	1	1.0	0.005,0.009,0.001	0.01,0.006,0.004	-0.002
1630	"ENSG00000142303"	"ENSG00000142303"	chr19	-	8585131	8585660	8585131	8585308	8585455	8585660	1630	4,19,9	14,34,9	42,9,22	68,17,9	197	50	0.183929865865	0.4118695951380977	0.068,0.124,0.202	0.136,0.118,0.383	-0.081
1631	"ENSG00000142303"	"ENSG00000142303"	chr19	-	8596072	8596412	8596072	8596219	8596306	8596412	1631	60,72,40	10,13,4	87,48,33	30,12,11	137	50	0.00958679944943	0.04807512783841395	0.686,0.669,0.785	0.514,0.593,0.523	0.17
1634	"ENSG00000139620"	"ENSG00000139620"	chr12	-	48681381	48682225	48681381	48681641	48682186	48682225	1634	4,76,5	67,28,13	2,97,25	56,48,27	595	50	0.356101661561	0.6437637695164553	0.005,0.186,0.031	0.003,0.145,0.072	0.001
1637	"ENSG00000161914"	"ENSG00000161914"	chr19	-	11486986	11487903	11486986	11487158	11487291	11487903	1637	34,28,8	13,15,10	35,21,13	25,28,7	183	50	0.260351861315	0.5221270086674663	0.417,0.338,0.179	0.277,0.17,0.337	0.05
1639	"ENSG00000137713"	"ENSG00000137713"	chr11	-	111742052	111742665	111742052	111742144	111742522	111742665	1639	349,119,94	298,90,130	221,100,122	204,63,71	428	50	0.05646222673	0.18120347192151415	0.12,0.134,0.078	0.112,0.156,0.167	-0.034
1642	"ENSG00000105643"	"ENSG00000105643"	chr19	+	18008169	18008584	18008169	18008228	18008453	18008584	1642	249,480,320	0,12,0	83,265,135	0,5,1	275	50	0.577886470564	0.8712465517766991	1.0,0.879,1.0	1.0,0.906,0.961	0.004
1643	"ENSG00000105643"	"ENSG00000105643"	chr19	+	18008167	18008777	18008167	18008584	18008710	18008777	1643	25,21,30	71,65,45	58,13,9	27,31,34	176	50	0.164716786492	0.3826275473844852	0.091,0.084,0.159	0.379,0.106,0.07	-0.074
1644	"ENSG00000186470"	"ENSG00000186470"	chr6	+	26367989	26368267	26367989	26368050	26368177	26368267	1644	49,62,41	29,28,14	96,31,33	20,6,8	177	50	0.00229301666657	0.016593924860200802	0.323,0.385,0.453	0.576,0.593,0.538	-0.182
1646	"ENSG00000186470"	"ENSG00000186470"	chr6	+	26373275	26373413	26373275	26373296	26373386	26373413	1646	71,63,33	185,105,101	17,38,30	99,57,45	140	50	0.993632887447	1.0	0.121,0.176,0.104	0.058,0.192,0.192	-0.014
1648	"ENSG00000165661"	"ENSG00000165661"	chr9	-	136216599	136216722	136216599	136216701	136216702	136216722	1648	72,47,36	0,0,2	54,79,25	0,0,0	51	50	1	1.0	1.0,1.0,0.946	1.0,1.0,1.0	-0.018
1650	"ENSG00000168066"	"ENSG00000168066"	chr11	-	64764605	64766155	64764605	64765518	64765950	64766155	1650	3929,2857,2891	22,14,36	4452,3328,2793	18,24,22	482	50	0.296185836596	0.5704807167715363	0.949,0.955,0.893	0.962,0.935,0.929	-0.01
1652	"ENSG00000161847"	"ENSG00000161847"	chr19	-	10320654	10320951	10320654	10320763	10320857	10320951	1652	222,207,186	2,0,1	365,193,114	0,1,0	144	50	1	1.0	0.975,1.0,0.985	1.0,0.985,1.0	-0.008
1653	"ENSG00000161847"	"ENSG00000161847"	chr19	-	10320654	10320951	10320654	10320782	10320857	10320951	1653	188,179,158	7,3,10	296,155,97	24,2,4	125	50	0.302233877556	0.5790052337659474	0.915,0.96,0.863	0.831,0.969,0.907	0.01
1654	"ENSG00000177058"	"ENSG00000177058"	chr5	-	55633694	55635657	55633694	55633808	55635543	55635657	1654	283,132,126	0,0,0	379,148,89	0,1,0	1785	50	1	1.0	1.0,1.0,1.0	1.0,0.806,1.0	0.065
1655	"ENSG00000105135"	"ENSG00000105135"	chr19	-	15116000	15116321	15116000	15116071	15116151	15116321	1655	46,25,30	46,43,47	31,51,30	73,58,33	130	50	0.773852791913	1.0	0.278,0.183,0.197	0.14,0.253,0.259	0.002
1656	"ENSG00000105135"	"ENSG00000105135"	chr19	-	15116407	15118015	15116407	15116522	15117880	15118015	1656	243,211,130	127,68,52	353,252,220	177,43,49	1408	50	0.0168562997905	0.07375017770724267	0.064,0.099,0.082	0.066,0.172,0.138	-0.044
1657	"ENSG00000105135"	"ENSG00000105135"	chr19	-	15122692	15123030	15122692	15122804	15122891	15123030	1657	35,19,11	37,33,41	52,18,27	60,68,48	137	50	0.869779272599	1.0	0.257,0.174,0.089	0.24,0.088,0.17	0.007
1660	"ENSG00000099901"	"ENSG00000099901"	chr22	+	20126302	20127181	20126302	20126368	20126951	20127181	1660	353,339,227	144,198,170	416,404,289	180,173,138	633	50	0.0383235301273	0.13741946607335712	0.162,0.119,0.095	0.154,0.156,0.142	-0.025
1663	"ENSG00000249115"	"ENSG00000249115"	chr19	+	35613867	35614059	35613867	35613900	35614034	35614059	1663	18,14,0	145,51,74	7,4,6	161,74,90	184	50	0.00745339645283	0.03984893238065725	0.033,0.069,0.0	0.012,0.014,0.018	0.019
1664	"ENSG00000249115"	"ENSG00000249115"	chr19	+	35619612	35620123	35619612	35619758	35620011	35620123	1664	356,196,187	35,20,39	551,319,267	39,16,15	303	50	0.00118864479583	0.009645285005044746	0.627,0.618,0.442	0.7,0.767,0.746	-0.175
1665	"ENSG00000151632"	"ENSG00000151632"	chr10	-	4999199	5000666	4999199	4999277	5000549	5000666	1665	67,47,20	6,4,3	94,26,92	19,6,10	1322	50	0.185211810296	0.41409991715969247	0.297,0.308,0.201	0.158,0.141,0.258	0.083
1666	"ENSG00000224424"	"ENSG00000224424"	chr3	+	48847936	48848408	48847936	48848025	48848104	48848408	1666	3,4,4	1,2,0	0,0,2	0,0,1	129	50	1	1.0	0.538,0.437,1.0	NA,NA,0.437	0.221
1667	"ENSG00000107104"	"ENSG00000107104"	chr9	+	732377	734835	732377	732617	734747	734835	1667	1780,395,393	140,43,76	2940,744,946	194,67,81	2180	50	0.00523032064889	0.030307896931417267	0.226,0.174,0.106	0.258,0.203,0.211	-0.055
1669	"ENSG00000159713"	"ENSG00000159713"	chr16	-	67390478	67391117	67390478	67390632	67390923	67391117	1669	242,224,231	126,141,179	63,127,50	79,136,29	341	50	0.00247495964621	0.01749090626017277	0.22,0.189,0.159	0.105,0.12,0.202	0.047
1670	"ENSG00000107551"	"ENSG00000107551"	chr10	+	44970164	44971848	44970164	44970264	44971772	44971848	1670	5127,2653,1535	292,183,179	4128,2566,1658	116,53,47	1558	50	5.86530823909e-13	1.3985827496110104e-10	0.36,0.318,0.216	0.533,0.608,0.531	-0.259
1671	"ENSG00000177943"	"ENSG00000177943"	chr9	+	136856463	136856826	136856463	136856575	136856709	136856826	1671	212,82,97	55,17,26	330,140,136	41,18,25	184	50	0.00230294403938	0.016603358995274972	0.512,0.567,0.503	0.686,0.679,0.596	-0.126
1672	"ENSG00000177943"	"ENSG00000177943"	chr9	+	136857978	136858546	136857978	136858097	136858399	136858546	1672	164,90,50	3,5,7	149,122,88	0,2,1	352	50	8.12599512425e-05	0.0011364478225087463	0.886,0.719,0.504	1.0,0.897,0.926	-0.238
1673	"ENSG00000177943"	"ENSG00000177943"	chr9	+	136858718	136859132	136858718	136858853	136859004	136859132	1673	192,109,77	69,42,37	194,99,92	87,61,50	201	50	0.0766097622	0.2222335498368613	0.409,0.392,0.341	0.357,0.288,0.314	0.061
1674	"ENSG00000177943"	"ENSG00000177943"	chr9	+	136859208	136860064	136859208	136859317	136859885	136860064	1674	426,475,372	117,52,45	532,446,413	122,73,76	618	50	0.303876168597	0.5808358509174721	0.228,0.425,0.401	0.261,0.331,0.305	0.052
1675	"ENSG00000100241"	"ENSG00000100241"	chr22	-	50447321	50447609	50447321	50447453	50447521	50447609	1675	47,25,11	206,266,240	26,17,15	223,168,159	118	50	0.567175459626	0.8617916033460015	0.088,0.038,0.019	0.047,0.041,0.038	0.006
1676	"ENSG00000100241"	"ENSG00000100241"	chr22	-	50467531	50467923	50467531	50467690	50467785	50467923	1676	0,2,1	172,101,89	0,0,0	80,54,67	145	50	1	1.0	0.0,0.007,0.004	0.0,0.0,0.0	0.004
1677	"ENSG00000100241"	"ENSG00000100241"	chr22	-	50467531	50467923	50467531	50467693	50467785	50467923	1677	0,2,0	32,32,24	0,0,0	8,26,9	142	50	1	1.0	0.0,0.022,0.0	0.0,0.0,0.0	0.007
1678	"ENSG00000166333"	"ENSG00000166333"	chr11	+	6608693	6608967	6608693	6608790	6608883	6608967	1678	230,128,71	280,274,255	186,126,119	251,217,163	143	50	0.0266347737405	0.10439688624557823	0.223,0.14,0.089	0.206,0.169,0.203	-0.042
1679	"ENSG00000166333"	"ENSG00000166333"	chr11	+	6608693	6609156	6608693	6608967	6609070	6609156	1679	310,169,149	349,243,261	291,170,199	265,202,166	153	50	0.00114226394526	0.009392166818870586	0.225,0.185,0.157	0.264,0.216,0.281	-0.065
1680	"ENSG00000166333"	"ENSG00000166333"	chr11	+	6608883	6609408	6608883	6608967	6609298	6609408	1680	996,603,569	16,0,1	1060,564,588	0,1,1	381	50	0.000142988045364	0.0017620413135424186	0.891,1.0,0.987	1.0,0.987,0.987	-0.032
1681	"ENSG00000142765"	"ENSG00000142765"	chr1	+	27349397	27349765	27349397	27349498	27349651	27349765	1681	460,328,268	264,187,204	520,364,272	276,121,153	203	50	0.03103892243	0.1166466675088022	0.3,0.302,0.244	0.317,0.426,0.305	-0.067
1682	"ENSG00000142765"	"ENSG00000142765"	chr1	+	27349971	27350485	27349971	27350132	27350388	27350485	1682	966,704,466	163,178,136	1010,636,494	164,129,130	306	50	0.426305545609	0.7263535310063604	0.492,0.393,0.359	0.502,0.446,0.383	-0.029
1683	"ENSG00000100906"	"ENSG00000100906"	chr14	-	35402393	35402859	35402393	35402534	35402770	35402859	1683	46381,15755,14746	1262,309,321	43527,13758,13532	1298,259,255	286	50	0.854984584456	1.0	0.865,0.899,0.889	0.854,0.903,0.903	-0.002
1684	"ENSG00000100906"	"ENSG00000100906"	chr14	-	35402393	35402859	35402393	35402663	35402770	35402859	1684	3345,1106,1225	14301,5001,4802	3808,1188,1293	13642,4223,4169	157	50	0.0172223970099	0.07500786423763754	0.069,0.066,0.075	0.082,0.082,0.09	-0.015
1685	"ENSG00000006534"	"ENSG00000006534"	chr11	+	68015296	68018637	68015296	68015459	68018526	68018637	1685	48,32,10	0,11,3	18,48,29	0,4,4	3117	50	0.726717565786	0.9970414474204355	1.0,0.045,0.051	1.0,0.161,0.104	-0.056
1689	"ENSG00000213614"	"ENSG00000213614"	chr15	-	72353690	72355624	72353690	72353737	72355558	72355624	1689	211,74,33	199,122,100	65,99,91	119,95,95	1871	50	0.271846362033	0.5390183912677057	0.028,0.016,0.009	0.014,0.027,0.025	-0.004
1690	"ENSG00000111602"	"ENSG00000111602"	chr12	-	56420568	56420881	56420568	56420687	56420812	56420881	1690	1,8,1	73,89,74	12,6,2	54,54,42	175	50	0.00311574903148	0.020782055680545385	0.004,0.025,0.004	0.06,0.031,0.013	-0.024
1691	"ENSG00000167110"	"ENSG00000167110"	chr9	-	128262562	128263092	128262562	128262704	128263033	128263092	1691	227,83,118	244,139,119	173,108,65	237,129,114	379	50	0.214676580312	0.46033840445500357	0.109,0.073,0.116	0.088,0.099,0.07	0.014
1692	"ENSG00000120616"	"ENSG00000120616"	chr10	-	32291162	32292644	32291162	32291322	32292495	32292644	1692	222,33,59	178,78,70	324,88,78	304,107,133	1223	50	0.783087844699	1.0	0.049,0.017,0.033	0.042,0.033,0.023	0.0
1693	"ENSG00000099783"	"ENSG00000099783"	chr19	+	8465323	8465515	8465323	8465362	8465479	8465515	1693	3740,2387,2315	497,341,407	3277,2175,1874	337,265,290	167	50	0.0624016914992	0.19350395577186913	0.693,0.677,0.63	0.744,0.711,0.659	-0.038
1694	"ENSG00000166444"	"ENSG00000166444"	chr11	-	8870953	8871367	8870953	8871088	8871333	8871367	1694	59,29,36	76,23,45	27,48,40	46,18,25	295	50	0.109733211652	0.28674941718815783	0.116,0.176,0.119	0.09,0.311,0.213	-0.068
1695	"ENSG00000104886"	"ENSG00000104886"	chr19	-	2235761	2235990	2235761	2235828	2235922	2235990	1695	20,22,30	192,238,201	12,18,20	142,187,128	144	50	0.791235048671	1.0	0.035,0.031,0.049	0.029,0.032,0.051	0.001
1697	"ENSG00000124493"	"ENSG00000124493"	chr6	-	34058973	34062028	34058973	34059128	34061892	34062028	1697	303,53,63	11,7,5	107,58,46	7,3,4	2814	50	0.888342574305	1.0	0.329,0.119,0.183	0.214,0.256,0.17	-0.003
1698	"ENSG00000100897"	"ENSG00000100897"	chr14	+	24115325	24115749	24115325	24115392	24115514	24115749	1698	531,355,298	0,1,1	787,334,312	0,2,1	172	50	1	1.0	1.0,0.99,0.989	1.0,0.98,0.989	0.003
1699	"ENSG00000100897"	"ENSG00000100897"	chr14	+	24115381	24115726	24115381	24115392	24115542	24115726	1699	625,417,351	35,30,30	893,376,362	34,21,7	200	50	0.00193666555729	0.014519827909963935	0.817,0.777,0.745	0.868,0.817,0.928	-0.091
1700	"ENSG00000169592"	"ENSG00000169592"	chr16	+	29996243	29996617	29996243	29996391	29996546	29996617	1700	87,44,46	204,132,126	68,66,54	154,123,105	205	50	0.0839591513822	0.2355301134951246	0.094,0.075,0.082	0.097,0.116,0.111	-0.024
1701	"ENSG00000169592"	"ENSG00000169592"	chr16	+	30001211	30004657	30001211	30001530	30004567	30004657	1701	6093,4725,2474	11,6,4	6986,4865,3378	34,6,10	3087	50	0.0128238308986	0.05984036160021859	0.9,0.927,0.909	0.769,0.929,0.845	0.064
1706	"ENSG00000183735"	"ENSG00000183735"	chr12	+	64485454	64486017	64485454	64485513	64485925	64486017	1706	21,30,6	155,76,66	11,6,21	86,41,55	462	50	0.941585068609	1.0	0.014,0.041,0.01	0.014,0.016,0.04	-0.002
1707	"ENSG00000013306"	"ENSG00000013306"	chr17	-	44320195	44320436	44320195	44320276	44320354	44320436	1707	78,123,78	216,347,292	67,67,44	248,250,167	128	50	0.140047217752	0.34180408467722007	0.124,0.122,0.094	0.095,0.095,0.093	0.019
1708	"ENSG00000013306"	"ENSG00000013306"	chr17	-	44321057	44321558	44321057	44321231	44321433	44321558	1708	394,273,244	155,143,122	482,206,138	159,126,87	252	50	0.714449198315	0.9855968257923734	0.335,0.275,0.284	0.376,0.245,0.239	0.011
1709	"ENSG00000120549"	"ENSG00000120549"	chr10	+	24544980	24547843	24544980	24545103	24545826	24547843	1709	3797,3350,2280	385,214,259	3351,2288,2282	416,277,387	773	50	0.00228101669645	0.016532171163176367	0.389,0.503,0.363	0.343,0.348,0.276	0.096
1710	"ENSG00000185306"	"ENSG00000185306"	chr12	-	64274900	64275372	64274900	64274975	64275297	64275372	1710	100,51,49	49,24,38	43,34,43	12,6,13	372	50	0.00325852643472	0.021468417396643957	0.215,0.222,0.148	0.325,0.432,0.308	-0.16
1711	"ENSG00000141644"	"ENSG00000141644"	chr18	-	50276661	50276998	50276661	50276744	50276831	50276998	1711	30,45,29	128,104,84	105,55,40	151,96,75	137	50	0.000138423597904	0.0017236087164599896	0.079,0.136,0.112	0.202,0.173,0.163	-0.07
1712	"ENSG00000090447"	"ENSG00000090447"	chr16	-	4260089	4260595	4260089	4260245	4260454	4260595	1712	41,34,20	24,20,22	29,25,25	45,38,28	259	50	0.00386419815981	0.024089360815861292	0.248,0.247,0.149	0.111,0.113,0.147	0.091
1713	"ENSG00000090447"	"ENSG00000090447"	chr16	-	4261778	4262422	4261778	4261949	4262323	4262422	1713	39,15,20	18,29,29	117,63,43	27,43,30	424	50	0.00401906765473	0.024859836115962864	0.204,0.057,0.075	0.338,0.147,0.145	-0.098
1714	"ENSG00000196465"	"ENSG00000196465"	chr12	+	56154812	56155198	56154812	56154840	56155054	56155198	1714	10,5,2	223,113,131	14,23,14	355,227,138	264	50	0.192061713685	0.4250312355284292	0.008,0.008,0.003	0.007,0.019,0.019	-0.009
1717	"ENSG00000203896"	"ENSG00000203896"	chr20	+	63737820	63738060	63737820	63737902	63737972	63738060	1717	47,52,57	18,18,22	58,43,27	19,25,15	120	50	0.361985940371	0.6488827164639049	0.521,0.546,0.519	0.56,0.417,0.429	0.06
1718	"ENSG00000203896"	"ENSG00000203896"	chr20	+	63737820	63738060	63737820	63737902	63738007	63738060	1718	77,87,83	41,47,53	78,61,60	47,48,16	155	50	0.750838830339	1.0	0.377,0.374,0.336	0.349,0.291,0.547	-0.033
1719	"ENSG00000203896"	"ENSG00000203896"	chr20	+	63738007	63738499	63738007	63738060	63738182	63738499	1719	37,17,24	44,81,61	36,15,24	120,67,41	172	50	0.299660924225	0.576475573872136	0.196,0.058,0.103	0.08,0.061,0.145	0.024
1721	"ENSG00000142515"	"ENSG00000142515"	chr19	+	50854914	50856399	50854914	50855001	50856239	50856399	1721	35,0,0	3,2,6	0,2,0	0,0,0	1288	50	1	1.0	0.312,0.0,0.0	NA,1.0,NA	-0.896
1728	"ENSG00000119638"	"ENSG00000119638"	chr14	-	75105949	75106702	75105949	75105996	75106501	75106702	1728	589,308,227	186,114,78	1114,373,421	168,99,83	555	50	5.5540501428e-05	0.0008435434755099745	0.222,0.196,0.208	0.374,0.253,0.314	-0.105
1735	"ENSG00000111452"	"ENSG00000111452"	chr12	+	130966462	130971580	130966462	130966546	130971457	130971580	1735	77,11,15	8,0,4	0,16,14	8,8,4	4961	50	0.0733766080642	0.21550219616607394	0.088,1.0,0.036	0.0,0.02,0.034	0.357
1737	"ENSG00000187266"	"ENSG00000187266"	chr19	-	11382846	11383232	11382846	11382949	11383096	11383232	1737	11,4,3	0,0,0	30,21,10	1,0,0	197	50	1	1.0	1.0,1.0,1.0	0.884,1.0,1.0	0.039
1738	"ENSG00000187266"	"ENSG00000187266"	chr19	-	11382846	11383232	11382846	11382982	11383096	11383232	1738	11,2,2	0,0,1	17,10,8	0,3,0	164	50	0.43514792065	0.736154818581004	1.0,1.0,0.379	1.0,0.504,1.0	-0.042
1739	"ENSG00000222009"	"ENSG00000222009"	chr1	+	44812995	44813269	44812995	44813064	44813137	44813269	1739	330,91,99	19,5,6	310,101,125	5,6,8	123	50	0.121228301151	0.3078152961584742	0.876,0.881,0.87	0.962,0.872,0.864	-0.024
1741	"ENSG00000110455"	"ENSG00000110455"	chr11	+	44077844	44078784	44077844	44077922	44078683	44078784	1741	930,998,545	11,18,8	815,1198,1034	0,15,3	811	50	0.00109082606794	0.009031509579871285	0.839,0.774,0.808	1.0,0.831,0.955	-0.122
1742	"ENSG00000074047"	"ENSG00000074047"	chr2	+	120988207	120991380	120988207	120989358	120990589	120991380	1742	1690,934,872	3,0,0	2008,952,1196	6,1,1	1281	50	0.056761140139	0.1817957537427072	0.956,1.0,1.0	0.929,0.974,0.979	0.025
1744	"ENSG00000204531"	"ENSG00000204531"	chr6	-	31165926	31166838	31165926	31166047	31166533	31166838	1744	0,0,0	0,5,0	0,0,3	0,8,1	536	50	1	1.0	NA,0.0,NA	NA,0.0,0.219	-0.11
1745	"ENSG00000112787"	"ENSG00000112787"	chr12	+	132574318	132574564	132574318	132574348	132574492	132574564	1745	70,33,55	119,145,139	102,32,38	125,162,114	194	50	0.811294733891	1.0	0.132,0.055,0.093	0.174,0.048,0.079	-0.007
1748	"ENSG00000206149"	"ENSG00000206149"	chr15	+	28655272	28655691	28655272	28655420	28655494	28655691	1748	13,1,4	10,6,12	6,1,3	31,8,6	124	50	0.0560726045381	0.18031709443169178	0.344,0.063,0.118	0.072,0.048,0.168	0.079
1749	"ENSG00000156239"	"ENSG00000156239"	chr21	-	28872190	28876491	28872190	28872739	28876311	28876491	1749	1178,562,398	5,1,0	1295,702,664	0,5,3	3622	50	0.650580766503	0.9289280465427565	0.765,0.886,1.0	1.0,0.66,0.753	0.079
1751	"ENSG00000162576"	"ENSG00000162576"	chr1	-	1354192	1354509	1354192	1354232	1354353	1354509	1751	351,190,109	16,3,5	318,242,155	56,12,8	171	50	0.00468608700476	0.028067196582606396	0.865,0.949,0.864	0.624,0.855,0.85	0.116
1752	"ENSG00000156345"	"ENSG00000156345"	chr9	-	87969193	87970897	87969193	87969349	87970567	87970897	1752	379,345,186	3,0,1	483,460,320	0,0,3	1268	50	0.363622289898	0.6504556266029865	0.833,1.0,0.88	1.0,1.0,0.808	-0.032
1753	"ENSG00000156345"	"ENSG00000156345"	chr9	-	87969193	87970897	87969193	87969349	87970775	87970897	1753	427,400,194	7,6,1	531,532,359	6,7,0	1476	50	0.332217217922	0.614324898127188	0.674,0.693,0.868	0.75,0.72,1.0	-0.078
1754	"ENSG00000156345"	"ENSG00000156345"	chr9	-	87970567	87970897	87970567	87970630	87970775	87970897	1754	47,49,8	11,4,4	44,68,38	2,9,4	195	50	0.141417664706	0.34444374003213174	0.523,0.759,0.339	0.849,0.66,0.709	-0.199
1755	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28477278	28477635	28477278	28477359	28477463	28477635	1755	200,201,132	1,4,1	181,117,90	0,0,0	154	50	0.514830266729	0.8121817869767122	0.985,0.942,0.977	1.0,1.0,1.0	-0.032
1756	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28482104	28482382	28482104	28482198	28482326	28482382	1756	34,54,42	130,77,64	78,39,25	113,44,52	178	50	0.0776923500132	0.2241953447621103	0.068,0.165,0.156	0.162,0.199,0.119	-0.03
1757	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28482326	28482545	28482326	28482382	28482476	28482545	1757	66,30,17	100,66,100	47,35,19	46,41,41	144	50	0.00437853618787	0.026532705311247812	0.186,0.136,0.056	0.262,0.229,0.139	-0.084
1758	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28482326	28482672	28482326	28482382	28482607	28482672	1758	160,109,48	0,7,0	65,74,71	0,1,0	275	50	0.0079843052714	0.04179709312766915	1.0,0.739,1.0	1.0,0.931,1.0	-0.064
1759	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28482326	28482672	28482326	28482382	28482625	28482672	1759	161,109,49	0,1,0	74,78,71	0,0,0	293	50	1	1.0	1.0,0.949,1.0	1.0,1.0,1.0	-0.017
1760	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28482326	28482672	28482326	28482545	28482625	28482672	1760	53,36,5	63,53,57	18,21,16	73,50,40	130	50	0.200660060378	0.438966893551689	0.244,0.207,0.033	0.087,0.139,0.133	0.042
1761	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28491481	28491835	28491481	28491560	28491713	28491835	1761	54,17,20	75,36,45	19,4,8	49,25,25	203	50	0.00837463080776	0.043083726345423345	0.151,0.104,0.099	0.087,0.038,0.073	0.052
1762	"ENSG00000188603"	"ENSG00000188603"	chr16	-	28491713	28492042	28491713	28491835	28492019	28492042	1762	94,69,55	79,54,38	63,54,45	112,39,38	234	50	0.065023778941	0.19883714753710807	0.203,0.214,0.236	0.107,0.228,0.202	0.039
1763	"ENSG00000111261"	"ENSG00000111261"	chr12	-	12343091	12343414	12343091	12343173	12343275	12343414	1763	136,51,59	15,5,1	78,78,44	0,2,0	152	50	4.80069855424e-06	0.000122430649225511	0.749,0.77,0.951	1.0,0.928,1.0	-0.153
1766	"ENSG00000134905"	"ENSG00000134905"	chr13	-	110642314	110644182	110642314	110642521	110644064	110644182	1766	753,937,559	68,44,39	610,709,625	71,39,48	1593	50	0.360008159569	0.6481234099601967	0.258,0.401,0.31	0.212,0.363,0.29	0.035
1767	"ENSG00000134905"	"ENSG00000134905"	chr13	-	110645966	110647239	110645966	110646090	110647100	110647239	1767	624,855,558	173,174,153	467,639,521	140,106,105	1060	50	0.252600629401	0.5130871057456169	0.145,0.188,0.147	0.136,0.221,0.19	-0.022
1768	"ENSG00000213199"	"ENSG00000213199"	chr7	+	151052165	151052474	151052165	151052237	151052415	151052474	1768	45,14,21	13,7,6	8,34,22	28,5,5	228	50	0.39709065503	0.6908945382376818	0.432,0.305,0.434	0.059,0.599,0.491	0.007
1770	"ENSG00000155229"	"ENSG00000155229"	chr10	-	97461495	97461896	97461495	97461622	97461827	97461896	1770	83,67,26	103,89,89	186,66,54	139,90,50	255	50	0.000417982513334	0.00419654443387336	0.136,0.129,0.054	0.208,0.126,0.175	-0.063
1771	"ENSG00000171163"	"ENSG00000171163"	chr1	-	248855557	248855946	248855557	248855635	248855724	248855946	1771	225,186,151	86,67,37	316,166,164	89,72,60	139	50	0.747704050488	1.0	0.485,0.5,0.595	0.561,0.453,0.496	0.023
1772	"ENSG00000108788"	"ENSG00000108788"	chr17	+	42568469	42568943	42568469	42568559	42568836	42568943	1772	105,76,72	70,72,62	79,100,53	62,65,47	327	50	0.673669979534	0.9509274998229466	0.187,0.139,0.151	0.163,0.19,0.147	-0.008
1773	"ENSG00000108788"	"ENSG00000108788"	chr17	+	42569203	42569606	42569203	42569303	42569506	42569606	1773	107,55,57	137,103,90	59,43,36	191,52,69	253	50	0.0270267010578	0.10533286626973865	0.134,0.095,0.111	0.058,0.14,0.093	0.016
1774	"ENSG00000108788"	"ENSG00000108788"	chr17	+	42569506	42570183	42569506	42569606	42569981	42570183	1774	87,68,38	256,191,125	67,39,50	165,131,104	425	50	0.355303629681	0.6425646605797076	0.038,0.04,0.035	0.046,0.034,0.054	-0.007
1775	"ENSG00000108788"	"ENSG00000108788"	chr17	+	42569506	42570183	42569506	42569606	42570096	42570183	1775	392,317,289	8,0,0	349,217,238	0,0,0	540	50	0.004899733179	0.028706176327581077	0.819,1.0,1.0	1.0,1.0,1.0	-0.06
1776	"ENSG00000186474"	"ENSG00000186474"	chr19	-	51029093	51029457	51029093	51029212	51029341	51029457	1776	49,11,59	2,0,0	29,102,25	0,0,0	179	50	1	1.0	0.873,1.0,1.0	1.0,1.0,1.0	-0.042
1777	"ENSG00000104327"	"ENSG00000104327"	chr8	-	90060628	90063153	90060628	90060700	90063099	90063153	1777	550,386,233	243,212,125	74,23,22	0,0,0	2449	50	0	0.0	0.044,0.036,0.037	1.0,1.0,1.0	-0.961
1778	"ENSG00000143379"	"ENSG00000143379"	chr1	+	150962973	150963741	150962973	150963139	150963529	150963741	1778	247,234,153	113,66,49	468,244,214	106,81,73	440	50	0.153913281122	0.36589446644515844	0.199,0.287,0.262	0.334,0.255,0.25	-0.03
1779	"ENSG00000163050"	"ENSG00000163050"	chr1	+	226982026	226982763	226982026	226982149	226982677	226982763	1779	107,64,27	45,24,33	357,70,92	100,58,59	578	50	0.62989632469	0.9109180575910333	0.171,0.187,0.066	0.236,0.095,0.119	-0.009
